d_TklW,d_DribContest,d_SuccPress%,d_Int,d_Clr,d_Dis,d_TacklesDef3rd,d_Gls,d_Ast,d_KP,d_xG,d_xA,d_SoT,m_Cmp,m_PassAtt,m_Cmp%,m_Ast,m_xA,m_KP,m_DribShot,m_GCA,m_TklW,m_SuccPress%,m_Gls,m_xG,m_TacklesMid3rd,m_SoT,a_xG,a_SoT,a_Gls,a_CPA,a_Succ%,a_TacklesAtt3rd,a_GCA,a_Ast,a_xA,a_KP,a_Cmp,a_Int,a_Clr,g_GA,g_Saves,g_CS,g_PSxG,g_Cmp%,away_d_TklW,away_d_DribContest,away_d_SuccPress%,away_d_Int,away_d_Clr,away_d_Dis,away_d_TacklesDef3rd,away_d_Gls,away_d_Ast,away_d_KP,away_d_xG,away_d_xA,away_d_SoT,away_m_Cmp,away_m_PassAtt,away_m_Cmp%,away_m_Ast,away_m_xA,away_m_KP,away_m_DribShot,away_m_GCA,away_m_TklW,away_m_SuccPress%,away_m_Gls,away_m_xG,away_m_TacklesMid3rd,away_m_SoT,away_a_xG,away_a_SoT,away_a_Gls,away_a_CPA,away_a_Succ%,away_a_TacklesAtt3rd,away_a_GCA,away_a_Ast,away_a_xA,away_a_KP,away_a_Cmp,away_a_Int,away_a_Clr,away_g_GA,away_g_Saves,away_g_CS,away_g_PSxG,away_g_Cmp%,Home_goals_scored,Away_goals_scored,Home_team,Away_team,Date
0.0,0.6,29.04,0.6,2.8,0.2,0.2,0.0,0.0,0.0,0.02,0.0,0.0,100.5,112.5,89.35,0.5,0.45,0.5,0.0,0.5,1.0,10.0,0.0,0.0,1.0,0.0,0.10000000000000002,0.6666666666666666,0.3333333333333333,0.3333333333333333,66.66666666666667,0.0,0.3333333333333333,0.3333333333333333,0.13333333333333333,1.3333333333333333,27.333333333333332,0.0,0.3333333333333333,1.0,2.0,0.0,0.9,100.0,0.6,0.8,34.660000000000004,0.2,4.0,0.4,0.6,0.0,0.2,1.0,0.04,0.22000000000000003,0.2,32.5,40.0,79.1,0.0,0.15000000000000002,1.5,0.0,0.0,1.5,25.950000000000003,0.0,0.05,0.0,0.0,0.5666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,66.66666666666667,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,18.666666666666668,0.6666666666666666,0.0,2.0,1.0,0.0,1.1,47.4,2,1,Arsenal,West Ham,2020-09-19 19:00:00Z
1.5,1.0,41.675,0.5,2.5,0.5,1.0,0.0,0.25,0.25,0.0,0.0,0.0,28.5,35.75,81.175,0.0,0.1,1.25,0.25,0.25,0.75,19.775,0.0,0.05,1.0,0.5,0.65,1.5,1.0,0.5,50.0,0.0,0.0,0.0,0.05,1.0,9.5,0.0,0.0,5.0,0.0,0.0,2.5,36.4,0.5,1.25,10.425,0.25,3.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,32.666666666666664,43.666666666666664,72.5,0.0,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,31.966666666666665,0.0,0.0,0.6666666666666666,0.0,0.7333333333333334,1.6666666666666667,1.6666666666666667,0.6666666666666666,66.66666666666667,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.5,2.0,11.333333333333334,0.3333333333333333,1.0,2.0,4.0,0.0,1.8,28.6,2,5,Southampton,Tottenham,2020-09-20 11:00:00Z
0.75,0.5,13.3,0.5,4.5,1.0,1.25,0.0,0.0,0.25,0.025,0.0,0.25,44.666666666666664,50.666666666666664,87.33333333333333,0.0,0.03333333333333333,0.3333333333333333,0.0,0.0,1.6666666666666667,40.46666666666667,0.0,0.26666666666666666,0.6666666666666666,0.0,0.03333333333333333,0.0,0.0,0.6666666666666666,27.766666666666666,0.0,0.0,0.0,0.03333333333333333,0.3333333333333333,21.0,0.0,0.6666666666666666,2.0,3.0,0.0,1.8,64.3,1.75,2.75,43.55,0.75,1.0,0.5,0.5,0.0,0.0,0.25,0.05,0.025,0.0,41.0,46.666666666666664,87.83333333333333,0.0,0.03333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,25.066666666666663,0.0,0.3333333333333333,0.0,0.3333333333333333,0.46666666666666673,1.3333333333333333,0.6666666666666666,1.0,66.66666666666667,1.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,3.0,37.666666666666664,0.3333333333333333,0.0,0.0,2.0,1.0,1.0,100.0,0,2,Chelsea,Liverpool,2020-09-20 15:30:00Z
1.75,1.75,29.7,0.75,3.25,0.75,1.5,0.25,0.25,0.75,0.1,0.1,0.25,48.0,57.4,83.6,0.2,0.04,1.0,0.4,1.0,0.6,25.139999999999997,0.4,0.18,0.8,1.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.1,1.0,10.0,0.0,0.0,2.0,3.0,0.0,1.8,26.3,1.0,1.75,35.35,0.0,5.75,0.0,1.5,0.25,0.0,1.0,0.07500000000000001,0.075,0.25,29.5,35.75,82.95,0.25,0.225,1.5,0.0,0.5,0.5,25.525000000000002,0.0,0.05,1.0,0.25,0.6,1.0,0.5,0.5,25.0,0.0,0.0,0.0,0.05,1.0,8.0,0.0,1.5,4.0,3.0,0.0,2.5,44.4,4,2,Leicester City,Burnley,2020-09-20 18:00:00Z
0.5,1.0,32.5,0.5,4.75,0.0,0.0,0.25,0.25,0.75,0.05,0.05,0.25,58.0,67.33333333333333,83.83333333333333,0.0,0.06666666666666667,2.0,0.0,0.0,0.3333333333333333,24.2,0.0,0.10000000000000002,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,3.3333333333333335,66.66666666666667,0.6666666666666666,0.0,0.0,0.16666666666666666,2.6666666666666665,30.666666666666668,0.0,1.3333333333333333,0.0,0.0,1.0,0.8,50.0,0.3333333333333333,0.6666666666666666,42.06666666666666,0.0,6.666666666666667,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,10.6,16.4,64.86,0.0,0.0,0.2,0.0,0.0,1.0,19.16,0.0,0.16,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.5,1.0,1.0,0.0,0.8,27.3,1,0,Aston Villa,Sheffield Utd,2020-09-21 17:00:00Z
1.4,2.8,42.68,1.0,2.4,0.8,2.4,0.0,0.0,0.8,0.0,0.1,0.0,32.333333333333336,38.333333333333336,84.86666666666666,0.0,0.09999999999999999,1.0,0.0,0.0,1.3333333333333333,22.933333333333334,0.0,0.06666666666666667,0.3333333333333333,0.0,0.4,0.5,0.5,1.0,25.0,0.5,1.0,0.5,0.1,1.5,16.5,0.0,0.5,3.0,6.0,0.0,2.2,50.0,1.5,2.5,43.25,0.0,1.25,1.25,1.0,0.0,0.0,0.0,0.025,0.0,0.0,75.0,90.33333333333333,82.66666666666667,0.3333333333333333,0.13333333333333333,2.3333333333333335,0.0,1.3333333333333333,3.0,43.36666666666667,0.3333333333333333,0.39999999999999997,2.6666666666666665,1.0,0.2333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,46.79999999999999,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.19999999999999998,1.0,35.666666666666664,0.0,0.0,1.0,0.0,0.0,0.4,58.3,1,3,Wolves,Manchester City,2020-09-21 19:15:00Z
1.75,1.0,29.924999999999997,1.5,3.5,0.0,2.25,0.25,0.0,0.0,0.075,0.0,0.25,33.25,44.25,74.3,0.25,0.075,1.25,0.0,0.25,1.25,22.45,0.0,0.025,1.0,0.0,0.05,0.0,0.0,0.5,41.65,0.0,0.5,0.0,0.0,0.0,17.5,1.5,1.0,2.0,3.0,0.0,2.9,33.3,0.75,1.0,17.475,0.0,5.0,0.5,1.25,0.0,0.25,0.5,0.0,0.1,0.0,39.0,44.0,88.59999999999998,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,20.433333333333334,0.0,0.03333333333333333,1.3333333333333333,0.3333333333333333,0.6333333333333334,1.0,0.6666666666666666,0.3333333333333333,46.666666666666664,0.3333333333333333,0.6666666666666666,0.0,0.19999999999999998,1.0,28.333333333333332,0.0,0.3333333333333333,1.0,0.0,0.0,0.7,42.1,1,2,Crystal Palace,Everton,2020-09-26 14:00:00Z
1.2,0.6,30.7,0.8,5.4,0.2,1.2,0.2,0.2,0.2,0.1,0.1,0.2,21.0,29.0,71.675,0.25,0.05,1.25,0.0,0.5,1.25,23.625,0.0,0.025,0.75,0.0,0.3,2.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,8.0,0.0,3.8,34.6,1.25,2.0,34.575,1.0,2.5,0.0,0.75,0.0,0.0,1.75,0.025,0.15,0.25,62.75,70.0,89.32500000000002,0.25,0.125,2.0,0.0,0.5,2.25,31.149999999999995,0.25,0.1,2.0,1.25,0.8,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.5,3.0,0.0,0.0,1.5,33.3,3,3,West Brom,Chelsea,2020-09-26 16:30:00Z
0.5,0.5,42.975,0.75,2.5,0.25,0.0,0.0,0.0,0.25,0.025,0.025,0.25,43.75,58.75,74.64999999999999,0.0,0.025,0.5,0.0,0.0,1.5,37.8,0.0,0.05,1.5,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,13.0,0.0,0.0,1.0,0.0,0.0,0.3,33.3,0.25,0.5,38.4,0.5,8.75,0.0,0.5,0.0,0.0,0.75,0.0,0.05,0.0,41.25,51.75,79.6,0.0,0.0,0.0,0.0,0.0,1.0,27.15,0.0,0.025,1.5,0.0,0.25,0.5,0.5,0.5,50.0,0.0,0.5,0.5,0.2,0.5,12.0,0.0,3.0,0.0,2.0,1.0,0.4,16.0,0,1,Burnley,Southampton,2020-09-26 19:00:00Z
1.4,0.6,27.2,0.8,5.4,0.6,1.6,0.0,0.0,0.0,0.1,0.0,0.4,26.666666666666668,35.333333333333336,76.53333333333333,0.0,0.26666666666666666,2.3333333333333335,0.3333333333333333,0.0,1.3333333333333333,20.4,0.0,0.26666666666666666,0.6666666666666666,0.3333333333333333,0.05,0.0,0.0,1.0,25.0,0.5,0.0,0.0,0.35,2.0,12.0,0.5,0.5,1.0,8.0,0.0,1.9,23.1,1.2,1.4,34.56,0.4,2.2,1.8,1.2,0.0,0.2,1.4,0.04,0.2,0.4,47.666666666666664,59.333333333333336,80.13333333333333,0.0,0.13333333333333333,2.6666666666666665,0.0,0.0,2.3333333333333335,48.93333333333334,0.0,0.16666666666666666,1.0,1.0,0.35,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.05,0.5,12.0,0.5,0.0,0.0,3.0,1.0,0.8,50.0,0,1,Sheffield Utd,Leeds United,2020-09-27 11:00:00Z
