Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2021-12-04,Robert Sánchez,Matchweek 15,Away,D 1–1,Brighton,Southampton,Y,GK,90,4,1,3,75,0,1,0,0,0,0,5,28,17.9,37,1,48.6,41,10,100,66.8,9,0,0,3,20
2022-03-16,Robert Sánchez,Matchweek 16,Home,L 0–2,Brighton,Tottenham,Y,GK,90,7,2,5,71.4,0,3.5,0,0,0,0,1,17,5.9,29,4,34.5,39.9,7,100,67.4,3,0,0,2,16.5
2021-12-15,Robert Sánchez,Matchweek 17,Home,L 0–1,Brighton,Wolves,Y,GK,90,5,1,4,80,0,0.8,0,0,0,0,4,13,30.8,31,2,35.5,39.9,3,66.7,50,5,2,40,3,26.8
2022-02-15,Robert Sánchez,Matchweek 18,Away,L 0–2,Brighton,Manchester Utd,Y,GK,90,7,2,5,71.4,0,2.6,0,0,0,0,6,17,35.3,38,4,34.2,34.5,5,80,56.6,4,0,0,0,12.2
2021-12-26,Robert Sánchez,Matchweek 19,Home,W 2–0,Brighton,Brentford,Y,GK,90,5,0,5,100,1,1,0,0,0,0,5,16,31.3,32,6,40.6,44,4,75,59.5,12,2,16.7,0,10.5
2021-12-29,Robert Sánchez,Matchweek 20,Away,D 1–1,Brighton,Chelsea,Y,GK,90,5,1,3,80,0,1.1,0,0,0,0,5,9,55.6,33,4,24.2,33.4,4,25,26.5,7,1,14.3,1,15
2022-01-02,Robert Sánchez,Matchweek 21,Away,W 3–2,Brighton,Everton,Y,GK,90,6,2,4,66.7,0,1.7,1,0,0,1,7,26,26.9,24,0,54.2,49.3,13,100,76.1,16,0,0,0,6
2022-01-14,Robert Sánchez,Matchweek 22,Home,D 1–1,Brighton,Crystal Palace,Y,GK,90,1,1,0,0,0,0.8,0,0,0,0,1,8,12.5,22,1,36.4,34.8,5,0,20.6,6,0,0,0,4
2022-01-23,Robert Sánchez,Matchweek 23,Away,D 1–1,Brighton,Leicester City,Y,GK,90,5,1,4,80,0,0.9,0,0,0,0,7,15,46.7,50,7,28,33.5,2,50,41,5,1,20,2,12.7
2022-01-18,Robert Sánchez,Matchweek 24,Home,D 1–1,Brighton,Chelsea,Y,GK,90,3,1,2,66.7,0,0.2,0,0,0,0,8,9,88.9,21,5,28.6,31.6,7,42.9,38.7,8,2,25,1,16.8
2022-02-12,Robert Sánchez,Matchweek 25,Away,W 2–0,Brighton,Watford,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,7,19,36.8,33,5,42.4,41.3,6,83.3,63.8,14,2,14.3,1,11.5
2022-02-19,Robert Sánchez,Matchweek 26,Home,L 0–3,Brighton,Burnley,Y,GK,90,4,3,1,25,0,1.7,0,0,0,0,6,15,40,38,3,34.2,37.8,3,66.7,52.3,7,1,14.3,1,15.7
2022-02-26,Robert Sánchez,Matchweek 27,Home,L 0–2,Brighton,Aston Villa,Y,GK,90,4,2,2,50,0,2,0,0,0,0,7,13,53.8,37,2,27,30.8,6,50,40.5,6,0,0,1,39
2022-03-05,Robert Sánchez,Matchweek 28,Away,L 1–2,Brighton,Newcastle Utd,Y,GK,90,4,2,2,50,0,2,0,0,0,0,6,14,42.9,30,5,36.7,33.2,4,75,58.3,6,0,0,0,12
2022-03-12,Robert Sánchez,Matchweek 29,Home,L 0–2,Brighton,Liverpool,Y,GK,90,8,2,7,87.5,0,1.9,1,1,0,0,5,29,17.2,51,8,43.1,37.5,7,100,70.6,7,0,0,0,10
2022-04-02,Robert Sánchez,Matchweek 31,Home,D 0–0,Brighton,Norwich City,Y,GK,90,0,0,0,0,1,0,0,0,0,0,2,8,25,13,5,23.1,34.2,6,83.3,63.2,5,1,20,0,13.5
2022-04-09,Robert Sánchez,Matchweek 32,Away,W 2–1,Brighton,Arsenal,Y,GK,90,4,1,3,75,0,1.3,0,0,0,0,2,18,11.1,25,2,56,52.6,4,100,65.5,9,1,11.1,0,11
2021-08-14,Illan Meslier,Matchweek 1,Away,L 1–5,Leeds United,Manchester Utd,Y,GK,90,8,5,3,37.5,0,1.9,0,0,0,0,8,23,34.8,38,10,42.1,33.9,10,70,44.2,4,0,0,1,18.7
2021-08-21,Illan Meslier,Matchweek 2,Home,D 2–2,Leeds United,Everton,Y,GK,90,7,2,6,85.7,0,3,1,1,0,0,2,3,66.7,20,6,15,23.2,8,0,22.8,3,0,0,2,19.5
2021-08-29,Illan Meslier,Matchweek 3,Away,D 1–1,Leeds United,Burnley,Y,GK,90,3,1,1,66.7,0,0.7,0,0,0,0,5,15,33.3,37,10,32.4,31.6,7,42.9,34.9,9,2,22.2,1,16.2
2021-09-12,Illan Meslier,Matchweek 4,Home,L 0–3,Leeds United,Liverpool,Y,GK,90,8,3,5,62.5,0,2.4,0,0,0,0,0,5,0,40,9,7.5,20.6,9,22.2,31.7,5,3,60,1,13.7
2021-09-17,Illan Meslier,Matchweek 5,Away,D 1–1,Leeds United,Newcastle Utd,Y,GK,90,7,1,6,85.7,0,1.5,0,0,0,0,7,12,58.3,30,8,33.3,30.1,9,22.2,25.4,5,1,20,0,11.5
2021-09-25,Illan Meslier,Matchweek 6,Home,L 1–2,Leeds United,West Ham,Y,GK,90,6,2,5,66.7,0,2.3,0,0,0,0,3,12,25,36,7,27.8,29.5,10,20,27.3,7,0,0,0,8.5
